Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Winestyle
Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,0.05286221047506444,0.2614654717975751,2013,Red
Fronsac 2005,France,Fronsac,Château Villars,3.8,0.05286221047506444,0.2403795466526094,2005,Red
Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,0.05286221047506444,0.11534001054296258,2014,Red
Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,0.05286221047506444,0.1568792830785451,2016,Red
12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,0.05286221047506444,0.06589351607801794,2016,Red
El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,0.05286221047506444,0.08223510806536635,2013,Red
Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,0.05286221047506444,0.06062203479177649,2017,Red
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,0.05286221047506444,0.08328940432261467,2018,Red
Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,0.05286221047506444,0.02329994728518714,2018,Red
Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,0.05286221047506444,0.2955192409066948,2015,Red
Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,0.05286221047506444,0.3874538745387454,2014,Red
Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,0.05286221047506444,1.0,2017,Red
Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,0.05286221047506444,0.054190827622561936,2014,Red
Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,0.05286221047506444,0.4728518713758566,2017,Red
Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,0.05286221047506444,0.17659462308908802,2015,Red
Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,0.05286221047506444,0.0669478123352662,2015,Red
Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,0.6851220699728746,0.04438587243015287,2019,Red
Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,0.6851220699728746,0.14391143911439117,2017,Red
Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,0.68651318077485,0.17659462308908802,2017,Red
San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,0.68651318077485,0.4795993674222456,2011,Red
Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,0.68651318077485,0.0864522930943595,2015,Red
Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,0.6879042915768254,1.0,2007,Red
Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,0.6879042915768254,0.5319978914074855,2016,Red
Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,0.6885998469778131,0.14338429098576702,2015,Red
Margaux 2010,France,Margaux,Château Labégorce,4.0,0.6892954023788008,0.39852398523985244,2010,Red
La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,0.6892954023788008,0.08792830785450712,2015,Red
Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,0.6899909577797885,0.37585661570901424,2015,Red
Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,0.05355776587605213,0.050606220347917764,2018,Red
Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,0.05355776587605213,0.016868740115972586,2018,Red
La Bienquerida 2013,Spain,Bierzo,Losada,4.1,0.05355776587605213,0.3460200316288877,2013,Red
Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,0.05355776587605213,0.0669478123352662,2018,Red
Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,0.05355776587605213,0.21454928835002637,2016,Red
Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,0.05355776587605213,0.25967316816025304,2016,Red
Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,0.05355776587605213,0.38798102266736956,2005,Red
Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,0.05355776587605213,0.03795466526093832,2017,Red
Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,0.05355776587605213,0.15919873484449132,2017,Red
Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,0.05355776587605213,0.07854507116499737,2017,Red
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,0.05355776587605213,0.2102266736953084,2015,Red
Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,0.05355776587605213,0.15603584607274645,2017,Red
Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,0.05355776587605213,0.04586188719030048,2015,Red
Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,0.05355776587605213,0.09836584080126518,2014,Red
RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,0.05355776587605213,1.0,2017,Red
Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,0.05355776587605213,0.040063257775434895,2018,Red
Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,0.05355776587605213,0.11386399578281498,2013,Red
Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,0.05355776587605213,0.05007907221929362,2018,Red
Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,0.05355776587605213,0.3152345809172377,2015,Red
Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,0.05355776587605213,0.14559831312598842,2019,Red
Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,0.05355776587605213,0.1054296257248287,2017,Red
Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,0.6920776239827515,0.14981549815498155,2015,Red
Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,0.6920776239827515,0.15224037954665262,2015,Red
Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,0.6934687347847269,0.484343700579863,2017,Red
Zinfandel 2016,United States,California,Geyser Peak,3.7,0.6941642901857147,0.08170795993674224,2016,Red
Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,0.6948598455867023,0.13020558777016342,2017,Red
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,0.69555540098769,0.246178176067475,2015,Red
Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,0.6962509563886777,0.057459146020031625,2016,Red
Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,0.6969465117896654,0.07917764891934634,2017,Red
60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,0.6976420671906531,0.1485503426462836,2016,Red
Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,0.6976420671906531,0.3726937269372694,2017,Red
Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,0.6983376225916408,0.3265155508697944,2017,Red
Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,0.054253321277039815,0.121244069583553,2011,Red
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,0.054253321277039815,0.12040063257775435,2013,Red
Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,0.054253321277039815,0.24280442804428043,2016,Red
Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,0.054253321277039815,0.008434370057986293,2016,Red
Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,0.054253321277039815,0.2503953610964681,2014,Red
Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,0.054253321277039815,0.1442277279915656,2011,Red
Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,0.054253321277039815,0.3874538745387454,2014,Red
Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,0.054253321277039815,0.3874538745387454,2015,Red
Crianza 2016,Spain,Rioja,Berceo,3.6,0.054253321277039815,0.07116499736425935,2016,Red
Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,0.054253321277039815,0.4612546125461255,2013,Red
Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,0.054253321277039815,0.0316288877174486,2018,Red
Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,0.054253321277039815,0.03531892461781761,2018,Red
Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,0.054253321277039815,0.27959936742224567,2015,Red
Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,0.054253321277039815,0.04891934633632051,2018,Red
Pomerol 1999,France,Pomerol,Château Nénin,4.1,0.054253321277039815,1.0,1999,Red
Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,0.054253321277039815,0.3746968898260411,2016,Red
Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,0.054253321277039815,0.5988402741170269,2012,Red
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,0.054253321277039815,1.0,2002,Red
Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,0.054253321277039815,0.7582498682129678,2017,Red
Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,0.054253321277039815,0.13442277279915657,2008,Red
Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,0.054253321277039815,0.6656826568265684,2015,Red
François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,0.054253321277039815,0.2741170268845546,2016,Red
Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,0.054253321277039815,0.08265682656826567,2018,Red
Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,0.054253321277039815,0.09984185556141276,2017,Red
Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,0.054253321277039815,0.1713231418028466,2014,Red
One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,0.6990331779926284,1.0,2016,Red
Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,0.6990331779926284,1.0,2013,Red
Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,0.6990331779926284,0.594517659462309,2006,Red
Médoc 2012,France,Médoc,Château Potensac,3.8,0.7011198441955916,0.385239852398524,2012,Red
Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,0.7025109549975669,0.5983131259884027,2014,Red
Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,0.7032065103985546,0.06958355297838692,2017,Red
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,0.7039020657995423,0.8865577227200843,2011,Red
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,0.7039020657995423,0.12029520295202953,2017,Red
Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,0.7039020657995423,1.0,2007,Red
Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,0.70459762120053,0.12387981022667371,2015,Red
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,0.7052931766015177,0.6942540853979968,2012,Red
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,0.0549488766780275,0.11892461781760674,2018,Red
Chianti 2017,Italy,Chianti,Sammontana,3.7,0.0549488766780275,0.06062203479177649,2017,Red
Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,0.0549488766780275,0.040484976278334216,2015,Red
Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,0.0549488766780275,0.3168160253031102,2017,Red
Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,0.0549488766780275,0.1977859778597786,2009,Red
Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,0.0549488766780275,0.14496573537163943,2016,Red
Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,0.0549488766780275,0.6942540853979968,2016,Red
Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,0.0549488766780275,0.05324196099103847,2016,Red
Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,0.0549488766780275,0.8096995255666843,2017,Red
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,0.0549488766780275,0.24333157617290463,2015,Red
Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,0.0549488766780275,0.0540853979968371,2015,Red
Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,0.0549488766780275,0.30416447021613074,2016,Red
Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,0.0549488766780275,0.2820242488139167,2015,Red
Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,0.0549488766780275,0.1771217712177122,2012,Red
Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,0.0549488766780275,0.25092250922509224,2012,Red
Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,0.7059887320025053,0.12229836584080128,2015,Red
Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,0.7059887320025053,0.09277807063784924,2015,Red
Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,0.7059887320025053,0.026357406431207174,2016,Red
Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,0.7059887320025053,0.1723774380600949,2015,Red
No Name 2014,Italy,Piemonte,Borgogno,4.0,0.7066842874034931,0.328624143384291,2014,Red
Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,0.7094665090074438,0.08118081180811809,2011,Red
Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,0.7101620644084315,0.44754876120189774,2014,Red
Almiréz 2016,Spain,Toro,Teso La Monja,4.0,0.7101620644084315,0.12440695835529783,2016,Red
Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,0.7101620644084315,0.09014232999472852,2010,Red
Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,0.7108576198094192,0.13906167633104904,2016,Red
Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,0.7122487306113946,0.07696362677912494,2016,Red
Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,0.055644432079015205,0.1617290458618872,2015,Red
Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,0.055644432079015205,1.0,2016,Red
Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,0.055644432079015205,0.09847127042699,2013,Red
Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,0.055644432079015205,0.4218239325250395,2015,Red
Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,0.055644432079015205,0.1312598840274117,2016,Red
Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4.0,0.055644432079015205,0.19768054823405376,2012,Red
Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,0.055644432079015205,0.13494992092778071,2015,Red
Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,0.055644432079015205,0.0316288877174486,2018,Red
Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,0.055644432079015205,0.9884027411702689,2006,Red
Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,0.055644432079015205,0.022983658408012655,2018,Red
Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,0.055644432079015205,0.1672113863995783,2016,Red
Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,0.055644432079015205,0.10279388508170798,2014,Red
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4.0,0.055644432079015205,0.23827095413811283,2013,Red
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,0.055644432079015205,0.3120716921454929,2014,Red
Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,0.055644432079015205,0.21918819188191885,2017,Red
Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,0.055644432079015205,0.08539799683711122,2018,Red
Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,0.055644432079015205,0.0716921454928835,2018,Red
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,0.055644432079015205,0.1404322614654718,2018,Red
Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,0.055644432079015205,0.22140221402214022,2017,Red
Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,0.055644432079015205,0.039536109646810765,2017,Red
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,0.055644432079015205,0.4265682656826568,2016,Red
Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,0.055644432079015205,0.38408012651555085,2015,Red
Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,0.055644432079015205,0.040063257775434895,2017,Red
Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,0.055644432079015205,0.12387981022667371,2016,Red
Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,0.7129442860123822,0.3410648392198208,2013,Red
The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,0.71363984141337,0.14053769109119663,2017,Red
Nero d'Avola 2017,Italy,Terre Siciliane,Colosi,3.8,0.7164220630173207,0.05830258302583025,2017,Red
Bordeaux 2015,France,Bordeaux,Jean-Pierre Moueix,3.5,0.7171176184183085,0.07443331576172907,2015,Red
Cabernet Sauvignon 2018,United States,California,Woodbridge by Robert Mondavi,3.4,0.7171176184183085,0.06114918292040062,2018,Red
Tinto 2018,Portugal,Lisboa,Porta 6,3.7,0.7171176184183085,0.06294148655772272,2018,Red
Délicate N.V.,South Africa,Stellenbosch,De Toren,4.1,0.7171176184183085,0.11839746968898263,N.V.,Red
Aglianico Rubrato 2014,Italy,Irpinia,Feudi di San Gregorio,3.5,0.7178131738192961,0.08223510806536635,2014,Red
Gran Verano Cabernet Sauvignon 2018,Chile,Central Valley,Apaltagua,3.4,0.7192042846212715,0.040063257775434895,2018,Red
Grand Estates Merlot 2015,United States,Columbia Valley,Columbia Crest,3.7,0.7192042846212715,0.09752240379546653,2015,Red
Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Beychevelle,4.0,0.05633998748000289,0.8814971006852926,2017,Red
Copa Santa La Méjanelle 2015,France,Languedoc,Clavel,4.0,0.05633998748000289,0.15550869794412228,2015,Red
Cantodoro 2016,Italy,Sicilia,Feudo Arancio,3.6,0.05633998748000289,0.056404849762783336,2016,Red
Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,0.05633998748000289,0.09277807063784924,2014,Red
Disueri Nero d'Avola 2018,Italy,Sicilia,Cusumano,3.6,0.05633998748000289,0.047970479704797044,2018,Red
Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,0.05633998748000289,0.38798102266736956,2013,Red
B 2017,Spain,Ribera del Duero,Baden Numen,3.8,0.05633998748000289,0.08497627833421192,2017,Red
Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,0.05633998748000289,0.2040063257775435,2017,Red
Protocolo Tinto 2018,Spain,Castilla,Dominio de Eguren,3.7,0.05633998748000289,0.029520295202952025,2018,Red
Rouge 2016,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,0.05633998748000289,0.14496573537163943,2016,Red
Côte de Nuits Villages Le Vaucrain 2016,France,Côte de Nuits Villages,Louis Jadot,4.0,0.05633998748000289,0.30416447021613074,2016,Red
Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,0.05633998748000289,0.15434897206114917,2016,Red
Yotuel Selección 2014,Spain,Ribera del Duero,Gallego Zapatero,3.6,0.05633998748000289,0.13284132841328414,2014,Red
Lanzaga Rioja 2014,Spain,Rioja,Telmo Rodriguez,3.8,0.05633998748000289,0.1771217712177122,2014,Red
Elysian Collection Merlot 2016,United States,California,Bonterra,3.8,0.05633998748000289,0.24828676858197152,2016,Red
La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,0.05633998748000289,0.441222983658408,2015,Red
Spätburgunder Trocken 2015,Germany,Pfalz,Ökonomierat Rebholz,3.9,0.05633998748000289,0.19240906694781232,2015,Red
El Chocolatero Cariñena 2014,Spain,Cariñena,San Valero,3.2,0.05633998748000289,0.04849762783342119,2014,Red
